,rooms,garages,useful_area,latitude,longitude,value,interior_quality,time_on_market,sold,value-5,value-10,value-15,value-20,yregr_test,regrpreds,dist,classpreds,classpreds_proba,misclassified,classpreds-5,classpreds-10,classpreds-15,classpreds-20,timepreds,timepreds-5,timepreds-10,timepreds-15,timepreds-20,dist20,dist15,dist10,dist5
2847,3.0,2.0,145,-23.54596,-46.6577915,1624930,1,162.1562628026571,0,1543683.5,1462437.0,1381190.5,1299944.0,1624930,1527682.5,-97247.5,0,0.32194394,False,0,0,0,0,108.81885,101.38146,101.38146,89.79015,112.00261,3.1837616,-19.028694,-7.4373856,-7.4373856
3508,2.0,2.0,84,-23.6001767,-46.6116023,678651,1,94.0,1,644718.45,610785.9,576853.35,542920.8,678651,745831.1,67180.125,1,0.6739754,False,1,1,1,1,74.12904,82.64374,77.9675,77.9675,72.04021,-2.0888367,3.8384552,3.8384552,8.514694
710,3.0,1.0,98,-23.6120444,-46.6485417,692217,1,94.0,1,657606.15,622995.3,588384.45,553773.6,692217,907575.06,215358.0625,1,0.76158464,False,1,1,1,1,78.32812,78.86948,78.86948,62.492077,56.564793,-21.763325,-15.8360405,0.54135895,0.54135895
482,2.0,1.0,40,-23.5940737,-46.6887343,685313,3,175.96770748344315,0,651047.35,616781.7000000001,582516.0499999999,548250.4,685313,604237.0,-81076.0,0,0.11829363,False,0,0,0,0,139.74356,134.33806,134.33806,126.4933,116.73507,-23.008492,-13.250259,-5.4055023,-5.4055023
1423,3.0,1.0,81,-23.5290971,-46.7283663,429364,1,10.0,1,407895.8,386427.60000000003,364959.39999999997,343491.2,429364,647666.06,218302.0625,1,0.8257636,False,1,1,1,1,44.80407,27.486938,43.687256,43.687256,43.687256,-1.1168137,-1.1168137,-1.1168137,-17.317131
5247,2.0,2.0,70,-23.6136881,-46.6353968,720639,2,121.20452046220556,0,684607.0499999999,648575.1,612543.15,576511.2000000001,720639,597321.5,-123317.5,1,0.66864014,True,1,1,1,1,145.45406,104.81962,102.25136,86.65608,86.65608,-58.797974,-58.797974,-43.202698,-40.634438
7848,3.0,1.0,105,-23.5847679,-46.6808806,1108520,1,5.0,1,1053094.0,997668.0,942242.0,886816.0,1108520,1118738.8,10218.75,1,0.7749945,False,1,1,1,1,122.982666,100.71506,100.71506,100.71506,89.74946,-33.233208,-22.267609,-22.267609,-22.267609
4900,2.0,2.0,145,-23.5525983,-46.6973418,2009590,2,118.0,1,1909110.5,1808631.0,1708151.5,1607672.0,2009590,1764633.6,-244956.375,0,0.13731475,True,0,0,0,0,177.32996,177.32996,177.32996,137.70126,134.513,-42.816956,-39.628693,0.0,0.0
5900,3.0,4.0,222,-23.612107,-46.7076142,1399190,1,33.0,1,1329230.5,1259271.0,1189311.5,1119352.0,1399190,1602566.9,203376.875,1,0.8291839,False,1,1,1,1,71.00163,92.79279,58.881233,58.881233,58.61139,-12.390244,-12.120399,-12.120399,21.79116
7571,3.0,1.0,115,-23.5682134,-46.6881637,1049920,1,26.506415600044733,0,997424.0,944928.0,892432.0,839936.0,1049920,1244216.2,194296.25,1,0.7113692,True,1,1,1,1,82.66234,82.66234,82.66234,51.888554,62.12337,-20.538967,-30.773785,0.0,0.0
