rooms,garages,useful_area,latitude,longitude,value,interior_quality,time_on_market,sold,value_log1p,value_log1p_zscore,time_on_market_agg
3.0,2.0,77,-23.6246294,-46.7387574,686126,2,75.83827276107867,0,13.438818020768693,-0.8436739149298392,"(75, 90]"
1.0,1.0,35,-23.55317,-46.648687,675152,3,215.49061763424652,0,13.422694610836325,-0.868196464656591,"(210, 225]"
3.0,2.0,97,-23.607094500000002,-46.6344145,871258,2,92.048199752375,0,13.67769457098917,-0.48035982033642594,"(90, 105]"
3.0,3.0,102,-23.5397323,-46.5675586,648740,3,32.0,1,13.382788840533637,-0.9288902782318137,"(30, 45]"
2.0,1.0,78,-23.5919927,-46.625480700000004,968643,2,319.5708662055487,0,13.78365243430812,-0.31920551221682847,"(315, 330]"
3.0,3.0,210,-23.616329699999998,-46.6825409,2175420,2,93.35525547836056,0,14.59273276699237,0.9113476260096219,"(90, 105]"
2.0,1.0,70,-23.5464492,-46.6503878,592282,2,20.0,1,13.291739840181705,-1.0673692754208055,"(15, 30]"
3.0,2.0,94,-23.611556600000004,-46.6351986,972772,1,1.1517304901469585,0,13.787906034874654,-0.31273609093137433,"(0, 15]"
4.0,4.0,220,-23.6257665,-46.73104779999999,1284100,3,5.0,1,14.065569420574612,0.10956999764958193,"(0, 15]"
2.0,1.0,110,-23.533348999999998,-46.704305,844643,3,9.0,1,13.646670515791635,-0.5275451824588482,"(0, 15]"
3.0,2.0,100,-23.606322199999997,-46.661145399999995,1238490,3,225.85194700885762,0,14.02940426103008,0.054565384665928404,"(225, 240]"
3.0,2.0,155,-23.5725935,-46.6565657,2198120,2,173.69883246276328,0,14.603113462476001,0.9271359190731497,"(165, 180]"
4.0,3.0,196,-23.5757016,-46.6494995,2869300,3,58.0,1,14.869579004064741,1.3324108901546687,"(45, 60]"
4.0,3.0,340,-23.5620194,-46.646870799999995,2438860,1,274.4760443497555,0,14.707041685004127,1.085203289167278,"(270, 285]"
3.0,1.0,160,-23.570763,-46.695001,1996090,3,76.22799643089165,0,14.506701325996664,0.7804999766146825,"(75, 90]"
2.0,1.0,80,-23.6251525,-46.6838094,801656,3,125.0,1,13.59443611456913,-0.6069899591406456,"(120, 135]"
4.0,5.0,490,-23.6243125,-46.6234206,4153910,3,259.3259954715871,0,15.23956085805627,1.8951267455823326,"(255, 270]"
2.0,1.0,58,-23.639039999999998,-46.735637,371633,3,79.0,1,12.825664777968804,-1.7762360063082054,"(75, 90]"
3.0,1.0,125,-23.558882500000003,-46.67308920000001,1090970,3,6.59076553519788,0,13.902578683343684,-0.13832721984418989,"(0, 15]"
2.0,1.0,72,-23.60689,-46.618286,440114,3,39.4338199565466,0,12.994791335381283,-1.519006646535123,"(30, 45]"
2.0,1.0,74,-23.5393116,-46.7056174,549229,1,39.49590944727488,0,13.216272576293026,-1.1821495693669941,"(30, 45]"
2.0,2.0,66,-23.5135799,-46.7138416,590892,2,77.0,1,13.2893902309275,-1.0709428625228126,"(75, 90]"
3.0,1.0,130,-23.5663346,-46.6604153,1907120,2,172.25306487938323,0,14.461105333015388,0.7111517425925887,"(165, 180]"
4.0,3.0,226,-23.4914289,-46.631757,2037780,1,121.0,1,14.527372028698307,0.8119386323961971,"(120, 135]"
1.0,1.0,43,-23.572130800000004,-46.62641,565732,3,328.90800324363653,0,13.245877514436273,-1.1371225824690314,"(315, 330]"
4.0,6.0,357,-23.567818600000003,-46.628309,4054730,2,259.03672998885423,0,15.215394905476696,1.858372065504561,"(255, 270]"
2.0,1.0,121,-23.5457309,-46.6577247,1214410,1,191.6058203342685,0,14.009769743553495,0.024702692270210404,"(180, 195]"
3.0,3.0,206,-23.556566399999998,-46.6952374,2568950,3,221.35802569239564,0,14.759008202340636,1.1642406336779094,"(210, 225]"
2.0,2.0,65,-23.5982391,-46.667092700000005,943948,3,118.11681472380778,0,13.757827418244483,-0.358483508823698,"(105, 120]"
3.0,3.0,330,-23.5816583,-46.6924282,4999430,1,131.13319106485895,0,15.424834663922663,2.1769149117631343,"(120, 135]"
3.0,1.0,100,-23.5883999,-46.6401153,708384,3,83.0,1,13.470743010188936,-0.7951182964925555,"(75, 90]"
4.0,3.0,185,-23.571668,-46.63434229999999,1678250,2,1.9754979417588148,0,14.333262737659602,0.5167123271736626,"(0, 15]"
2.0,2.0,60,-23.5915449,-46.62733729999999,576609,2,86.0,1,13.26492140708149,-1.108158188067216,"(75, 90]"
3.0,3.0,225,-23.565134699999998,-46.658900200000005,2654700,2,52.01530150652329,0,14.791842588613878,1.2141793794835694,"(45, 60]"
3.0,1.0,54,-23.5467306,-46.5897511,399935,1,40.0,1,12.899059813288753,-1.6646074233422028,"(30, 45]"
4.0,2.0,149,-23.591148800000003,-46.719962,1571550,3,326.53042136524675,0,14.267573587763485,0.4168038430755311,"(315, 330]"
2.0,1.0,50,-23.5197194,-46.7242167,499008,1,254.64177083842458,0,13.120379410643151,-1.3279961944276146,"(240, 255]"
4.0,4.0,165,-23.5940805,-46.625356700000005,2122170,3,126.55704090456938,0,14.567950179263704,0.8736550881108129,"(120, 135]"
1.0,3.0,150,-23.596582100000003,-46.6674053,3273320,1,285.0,1,15.001315623834667,1.5327728373291918,"(270, 285]"
4.0,2.0,267,-23.566519800000002,-46.6644941,3594750,1,305.2881358457889,0,15.094985283873411,1.6752376698815663,"(300, 315]"
4.0,3.0,177,-23.5830901,-46.629286900000004,1937370,1,179.0347261954344,0,14.476842457347889,0.7350867796361561,"(165, 180]"
3.0,1.0,87,-23.6020722,-46.669354600000005,928431,3,107.0,1,13.74125242069018,-0.38369289092408165,"(105, 120]"
3.0,1.0,132,-23.5733092,-46.6560698,1624130,2,52.008818743353174,0,14.300483461475142,0.46685739985914537,"(45, 60]"
3.0,1.0,115,-23.5762962,-46.644945899999996,1172220,1,82.663323239785,0,13.974410797895558,-0.029075727234064843,"(75, 90]"
2.0,1.0,75,-23.5934543,-46.6843239,817825,3,130.0,1,13.614404879021636,-0.5766189010752322,"(120, 135]"
2.0,1.0,85,-23.5528996,-46.6779525,1060420,1,169.41183454403645,0,13.874176557048518,-0.18152481621742955,"(165, 180]"
2.0,1.0,82,-23.6007618,-46.644696100000004,718114,1,132.0,1,13.484385002335895,-0.7743698051871176,"(120, 135]"
4.0,4.0,282,-23.5960112,-46.64136,3014670,3,280.0,1,14.919001261127926,1.4075785973285255,"(270, 285]"
3.0,2.0,85,-23.6099746,-46.6804737,959694,2,67.0,1,13.774370804630701,-0.3333222050420158,"(60, 75]"
3.0,2.0,108,-23.612045000000002,-46.7327385,605843,2,47.0,1,13.314377806169183,-1.032938553323614,"(45, 60]"
4.0,2.0,198,-23.580753,-46.692954,2338970,3,147.2522332068004,0,14.665221647028574,1.0215980118015144,"(135, 150]"
