rooms,garages,useful_area,latitude,longitude,value,interior_quality,pred_nt_value,receita_nt,sinal_receita_nt,pred_time_on_market_source,pred_time_on_market_nt_value,time_on_market_agg,receita_tempo,sold_proba,sold
2.0,1.0,57,-23.6115135,-46.630069299999995,454377,2,488744.03,34367.03125,1.0,73.98639,70.02219,"(60, 75]",490.8020311293984,0.71363986,True
3.0,2.0,120,-23.5602863,-46.664316799999995,1500960,1,1384365.4,-116594.625,-1.0,109.13121,120.78626,"(120, 135]",-965.2970675221993,0.46791762,False
2.0,2.0,80,-23.563253600000003,-46.6965585,1045980,3,988797.5,-57182.5,-1.0,147.66226,147.66226,"(135, 150]",-387.2519575405846,0.2990933,False
3.0,4.0,500,-23.5097595,-46.6507406,3707770,3,3539147.8,-168622.25,-1.0,114.49504,131.74849,"(120, 135]",-1279.8799499992415,0.437721,False
3.0,2.0,122,-23.520498,-46.72322,1007670,2,1261779.1,254109.125,1.0,118.989746,121.56507,"(120, 135]",2090.313629467765,0.6779065,True
3.0,1.0,93,-23.587962,-46.6403353,873119,1,730382.4,-142736.625,-1.0,96.901695,104.49625,"(90, 105]",-1365.9497829085494,0.41542435,False
3.0,2.0,207,-23.5781134,-46.590425200000006,1506980,2,1757950.4,250970.375,1.0,92.19479,122.585815,"(120, 135]",2047.3035491120995,0.37567452,False
2.0,1.0,58,-23.563017600000002,-46.6988865,550846,3,634070.44,83224.4375,1.0,101.71757,113.70776,"(105, 120]",731.915172829884,0.36793244,False
3.0,4.0,187,-23.636608,-46.73532,1091290,2,1411870.9,320580.875,1.0,90.9057,98.209435,"(90, 105]",3264.2574168341876,0.5919436,True
3.0,2.0,71,-23.5420918,-46.569987899999994,499956,2,548236.9,48280.875,1.0,66.991196,85.58599,"(75, 90]",564.121236303285,0.6211756,True
3.0,2.0,230,-23.5904157,-46.6710056,3919550,3,3030982.8,-888567.25,-1.0,180.02292,144.68439,"(135, 150]",-6141.417655026832,0.24248953,False
3.0,1.0,115,-23.562824600000003,-46.6772366,1434690,1,1302255.4,-132434.625,-1.0,118.76477,146.82442,"(135, 150]",-901.9931943400138,0.29290208,False
4.0,4.0,220,-23.6366667,-46.73,1317190,1,1663217.1,346027.125,1.0,99.61576,96.076355,"(90, 105]",3601.584646610953,0.56142205,True
2.0,1.0,48,-23.5593982,-46.6208586,336625,3,356815.5,20190.5,1.0,54.183712,92.34872,"(90, 105]",218.6332492064204,0.81694764,True
2.0,2.0,85,-23.5633089,-46.6822093,1121950,3,1090027.8,-31922.25,-1.0,112.50836,150.4237,"(150, 165]",-212.2155532346375,0.3265277,False
2.0,2.0,101,-23.612645999999998,-46.6256865,916856,3,917491.94,635.9375,1.0,100.49847,100.49847,"(90, 105]",6.327832873474999,0.6892488,True
2.0,1.0,64,-23.6104652,-46.6255345,314031,2,534609.44,220578.4375,1.0,52.25225,121.25141,"(120, 135]",1819.1824316437803,0.7647022,True
2.0,1.0,45,-23.643029000000002,-46.602321,220182,2,267662.03,47480.03125,1.0,57.201973,68.91661,"(60, 75]",688.9490175951878,0.83042157,True
3.0,1.0,75,-23.6278513,-46.6357713,661913,2,503616.66,-158296.34375,-1.0,98.52988,61.548565,"(60, 75]",-2571.893332999475,0.8597069,True
4.0,3.0,190,-23.636288,-46.7141,1690500,3,1654810.8,-35689.25,-1.0,156.32309,136.13528,"(135, 150]",-262.16017508649077,0.4751556,False
4.0,4.0,241,-23.620885100000002,-46.7330789,1325960,2,1445331.1,119371.125,1.0,96.76146,95.99154,"(90, 105]",1243.5588203058019,0.7056812,True
3.0,2.0,92,-23.535109,-46.705694,901730,1,835845.7,-65884.3125,-1.0,89.447334,99.89822,"(90, 105]",-659.5144035077818,0.5125256,True
1.0,2.0,46,-23.546571399999998,-46.6921247,643046,2,663205.5,20159.5,1.0,106.18078,145.94418,"(135, 150]",138.13157562921097,0.2429837,False
2.0,1.0,69,-23.5540461,-46.6501401,1051160,3,700251.06,-350908.9375,-1.0,139.80441,114.416016,"(105, 120]",-3066.9564534576057,0.38682786,False
4.0,1.0,250,-23.5248081,-46.7309582,2689480,2,2168675.8,-520804.25,-1.0,148.79044,141.95576,"(135, 150]",-3668.7784454682483,0.15739007,False
2.0,1.0,102,-23.561426899999997,-46.6797885,916240,1,1103306.9,187066.875,1.0,95.72931,91.93196,"(90, 105]",2034.8404716264447,0.5000455,True
2.0,1.0,51,-23.6182983,-46.632550099999996,386613,2,494861.2,108248.1875,1.0,71.815094,73.3633,"(60, 75]",1475.508771433569,0.5426749,True
3.0,3.0,480,-23.5826251,-46.6810075,4711250,1,4489054.0,-222196.0,-1.0,145.31528,180.02292,"(180, 195]",-1234.2650680429924,0.024252772,False
3.0,2.0,123,-23.5537828,-46.6536451,1438350,3,1366322.4,-72027.625,-1.0,123.12873,123.12873,"(120, 135]",-584.9782138357983,0.48643535,False
2.0,2.0,85,-23.563521899999998,-46.6889798,918857,3,1070700.1,151843.125,1.0,126.12449,128.341,"(120, 135]",1183.1224702637844,0.50100756,True
4.0,3.0,190,-23.49857,-46.6287094,1818260,2,1619570.1,-198689.875,-1.0,139.10326,122.05327,"(120, 135]",-1627.894750804581,0.555379,True
1.0,1.0,33,-23.588729,-46.632771000000005,234947,3,349509.47,114562.46875,1.0,63.442055,99.537766,"(90, 105]",1150.944751182184,0.81145537,True
4.0,4.0,312,-23.6275656,-46.6727872,2688540,2,3252261.5,563721.5,1.0,130.37224,147.42632,"(135, 150]",3823.750860378953,0.16909091,False
3.0,1.0,96,-23.5618162,-46.662337,1100210,3,1095572.2,-4637.75,-1.0,91.49665,91.49665,"(90, 105]",-50.687647741545675,0.4916576,False
1.0,2.0,170,-23.5656279,-46.65322379999999,2866600,2,1969676.9,-896923.125,-1.0,126.34582,112.76105,"(105, 120]",-7954.192923646681,0.48992968,False
3.0,1.0,190,-23.535784,-46.65675,1712210,3,1721059.6,8849.625,1.0,142.14433,142.14433,"(135, 150]",62.25802197202941,0.5254348,True
3.0,3.0,200,-23.619572100000003,-46.6739801,1906980,2,2055792.4,148812.375,1.0,100.85943,122.83037,"(120, 135]",1211.5275511437474,0.35838127,False
